title,artist,weeks,peak_rank,peak_date,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Alley-Oop,Hollywood Argyles,15.0,1.0,1960-05-25,2bgl6miORpyE4ql0gl7KHR,Alley Oop,Presenting The Hollywood Argyles,32.0,N,1960-12-03,0.584,0.476,-9.562,0.0614,0.809,0.0,0.0915,0.944,7.0,1.0,63.325,161.44
Almost Grown,Chuck Berry,13.0,32.0,1959-03-25,6Kl1mOpVOIg17MQmcjeUO5,Almost Grown,Berry Is On Top,40.0,N,1959-07-01,0.528,0.645,-9.446,0.0916,0.786,0.0,0.0441,0.756,0.0,1.0,151.403,141.96
Almost In Your Arms,Johnny Nash,4.0,78.0,1958-11-05,0DcrhZ12WcCqruCs8ibXSf,I Can See Clearly Now - Edit,I Can See Clearly Now,76.0,N,1972,0.681,0.373,-13.2,0.0568,0.633,0.00113,0.0751,0.623,2.0,1.0,123.423,164.733
Alone At Last,Jackie Wilson,15.0,8.0,1960-10-05,5QZyGPDlIyk75zl8sOOXbh,Alone At Last,The Ultimate Jackie Wilson,8.0,N,2006,0.288,0.392,-6.067,0.0293,0.951,0.000891,0.209,0.37,0.0,1.0,92.047,184.627
Alone With You,Faron Young,5.0,51.0,1958-08-06,1sgU6LtIDuTT2bxqdmSbh4,Alone With You,The Complete Capitol Hits Of Faron Young,27.0,N,2000-01-01,0.586,0.545,-9.712,0.0293,0.313,0.0,0.137,0.904,7.0,1.0,106.343,117.4
Along Came Jones,The Coasters,12.0,9.0,1959-05-13,7oxjjKuDTPRYpPvYveG6sV,Along Came Jones - 2007 Remaster; Remastered,There's A Riot Goin' On: The Coasters On Atco,24.0,N,2007-12-07,0.778,0.821,-5.182,0.296,0.67,0.0,0.161,0.789,9.0,1.0,104.824,179.293
"Alright, Okay, You Win",Peggy Lee,6.0,68.0,1959-01-21,1m8WU15D9BGbtsgNE4XWuJ,"Alright, Okay, You Win",Things Are Swingin',34.0,N,1958-11-03,0.698,0.333,-5.111,0.0391,0.557,0.0,0.0934,0.802,0.0,1.0,137.983,173.84
Alvin For President,David Seville And The Chipmunks,2.0,95.0,1960-08-31,2vveFvCblrNfr1lnu3kg5l,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,Greatest Hits: Still Squeaky After All These Years,30.0,Y,2007-01-01,0.618,0.375,-11.517,0.0341,0.711,1.78e-06,0.237,0.775,3.0,1.0,152.25,141.413
Alvin's Harmonica,David Seville And The Chipmunks,12.0,3.0,1959-02-11,4aqEPeDRi8EXbOxFwIoaJ8,Alvin's Harmonica,Let's All Sing With The Chipmunks,12.0,Y,1961-01-01,0.533,0.521,-7.395,0.0474,0.506,0.167,0.215,0.763,8.0,1.0,118.115,162.973
Alvin's Orchestra,David Seville And The Chipmunks,5.0,33.0,1960-02-17,2vveFvCblrNfr1lnu3kg5l,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,Greatest Hits: Still Squeaky After All These Years,30.0,Y,2007-01-01,0.618,0.375,-11.517,0.0341,0.711,1.78e-06,0.237,0.775,3.0,1.0,152.25,141.413
Always,Sammy Turner,12.0,19.0,1959-10-28,331LLgackdwiXV0pshoRYo,Always,My Symphony,2.0,N,2021-07-09,0.636,0.46,-8.808,0.0289,0.348,0.0,0.0458,0.887,8.0,0.0,108.797,131.626
Always It's You,The Everly Brothers,6.0,56.0,1960-05-11,05x9nkkybDpaC9StimjFHA,Always It's You - 2007 Remaster,A Date with The Everly Brothers,27.0,N,1960-10,0.519,0.18,-16.538,0.0285,0.867,4.05e-06,0.105,0.373,5.0,1.0,81.31,150.427
Am I Losing You,Jim Reeves,11.0,31.0,1960-10-19,3CRQJXjhNZiyvoNc3RIcwr,Am I Losing You,Greatest Hits,40.0,N,1989-09-21,0.528,0.121,-21.213,0.0345,0.91,0.00451,0.125,0.38,9.0,1.0,87.834,139.733
Am I That Easy To Forget,Debbie Reynolds,17.0,25.0,1960-01-13,0v05cmI3vQXZs8CHMCI2mn,Am I That Easy To Forget?,Am I That Easy To Forget?,41.0,N,1960-01-01,0.332,0.268,-14.41,0.0421,0.842,1.66e-06,0.321,0.32,3.0,1.0,78.806,141.84
Am I The Man,Jackie Wilson,10.0,32.0,1960-10-19,56T9QL3AHmckfvWkUOjGk4,Am I The Man,The Ultimate Jackie Wilson,8.0,N,2006,0.445,0.859,-4.456,0.0935,0.794,1.46e-06,0.127,0.838,5.0,1.0,151.915,154.867
Amapola,Jacky Noguez And His Orchestra,6.0,63.0,1960-01-13,7Lzr8bmMFrUFLYsalwDN3v,Mujer Mia (2022 - Remaster),Salsoul,41.0,N,1973,0.605,0.385,-8.715,0.0306,0.718,0.717,0.198,0.621,6.0,0.0,147.038,268.939
Ambrose (Part Five),Linda Laurie,9.0,52.0,1959-01-21,5KaSSoojvyeVyIAFWa6Kus,Ambrose - Part Five,"Rock and Pop Oldies Mix, Vol. 1",1.0,N,2015-12-17,0.585,0.479,-6.641,0.136,0.95,2.13e-05,0.0739,0.447,3.0,1.0,149.342,156.933
Among My Souvenirs,Connie Francis,15.0,7.0,1959-11-18,6EkeTn530FSyUGdoC7ZpoL,Among My Souvenirs,The Ultimate Collection,27.0,N,2003-01-01,0.464,0.447,-6.15,0.0266,0.464,2.9e-05,0.165,0.466,9.0,1.0,109.081,151.693
Amor,Ben E. King,4.0,40.0,1961-07-19,2U95mnxcqpr394uCZncG4R,Amor,Spanish Harlem,33.0,N,1961,0.548,0.566,-11.876,0.0307,0.672,1.22e-05,0.112,0.805,10.0,1.0,100.813,187.4
And Now,Della Reese,5.0,69.0,1960-08-31,2hYqqCFHhspCNior7gsgHg,And Now,Voice Of An Angel,1.0,N,1996,0.393,0.27,-11.097,0.0333,0.95,0.000912,0.0768,0.218,3.0,1.0,121.621,159.28
And The Heavens Cried,Ronnie Savoy,2.0,84.0,1961-01-04,7sNKhnl4MZnHdMzvmC4jG5,I Wouldn't Have Missed It For The World,There's No Gettin' Over Me,54.0,N,1981-08-01,0.663,0.511,-10.843,0.0259,0.0637,1.09e-06,0.101,0.579,7.0,1.0,114.003,217.827
Angel Baby,Dean Martin,13.0,5.0,1960-12-07,5DX3P3b7kv8266XyuA7fsS,Angel Baby - Remastered 1998,This Is Dean Martin,24.0,N,1958,0.603,0.233,-12.3,0.038,0.94,0.0,0.126,0.514,6.0,1.0,111.263,166.16
Angel Face,Jimmy Darren,8.0,47.0,1959-07-29,09hI5vUjGsHQARTB3rjTsB,Angel Face,Jimmy's Tunes,23.0,N,1999-01-01,0.481,0.461,-5.262,0.0299,0.755,0.0,0.0998,0.716,7.0,1.0,73.314,155.2
Angel On My Shoulder,Shelby Flint,12.0,22.0,1960-12-21,7qljXH2LAO8xASUqbyoP9F,Angel on My Shoulder,Shelby Flint [The Quiet Girl],19.0,N,1961,0.47,0.332,-9.848,0.034,0.912,0.000382,0.11,0.575,2.0,1.0,58.76,137.2
Angela Jones,Johnny Ferguson,15.0,27.0,1960-02-17,1GcFzch0H2ISYaIouviZlU,Angela Dangerlove,Crimes of Passion,23.0,N,2004-02-10,0.757,0.449,-8.33,0.0294,0.546,0.000952,0.139,0.313,2.0,1.0,143.949,320.053
Anna,Jorgen Ingmann & His Guitar,6.0,54.0,1961-05-17,1JqAYsFiMnW1wCdajdOO7C,"""Ich habe gehen gelernt: seitdem lasse ich mich laufen""",Zwischenraum,38.0,Y,2024-02-23,0.429,0.145,-18.171,0.0457,0.988,0.951,0.0954,0.0744,6.0,0.0,119.637,119.118
Another Sleepless Night,Jimmy Clanton,13.0,22.0,1960-04-20,1sbUdoRASGk8sOqCCCTlcB,Another Sleepless Night,This Is Jimmy Clanton,53.0,N,1998-01-01,0.58,0.306,-9.484,0.0296,0.73,0.0,0.157,0.72,5.0,1.0,79.978,131.267
Anthony Boy,Chuck Berry,5.0,60.0,1959-02-11,43Nyh6ndafXIC9pdiQtmMn,Anthony Boy,Berry Is On Top,24.0,N,1959-07-01,0.666,0.527,-12.54,0.0694,0.868,0.0,0.306,0.962,0.0,1.0,118.266,114.04
Anymore,Teresa Brewer,16.0,31.0,1960-08-03,1XEBWsT7jv8xm4OxyUb1h1,Anymore,A Sweet Old-Fashioned Girl,3.0,N,1995-01-01,0.484,0.377,-11.145,0.0365,0.879,0.0,0.63,0.539,7.0,1.0,122.784,141.467
Anyway The Wind Blows,Doris Day,7.0,50.0,1960-02-17,391TUcoPonqYykPkSZ5Z9U,Save the Last Dance for Me,Save the Last Dance for Me,63.0,N,1962,0.54,0.53,-10.583,0.0361,0.614,0.0,0.198,0.896,4.0,1.0,143.453,154.96
Apache,Jorgen Ingmann & His Guitar,17.0,2.0,1961-03-01,0FKNRNN2mcY9dBjenoxbeY,Apache,Atlantic 60th: Instrumental Jams,28.0,N,2007-10-30,0.644,0.492,-13.646,0.0468,0.894,0.922,0.117,0.248,9.0,0.0,129.089,175.52
Apple Green,June Valli,13.0,29.0,1960-03-02,6jnHoN690TZqPAJ1OMHiPN,June Apple,Carling & Will,22.0,N,2017-05-16,0.422,0.416,-12.317,0.0336,0.871,0.868,0.106,0.685,10.0,1.0,132.265,124.0
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,16.0,1.0,1960-11-09,3zpj9dvJABiyMrmLCPw6i8,Crazy - Single Version,Showcase,66.0,Y,1961-11-27,0.471,0.021,-24.385,0.0366,0.931,1.19e-06,0.103,0.356,10.0,1.0,107.796,164.573
Are You Lonesome Tonight,Jaye P. Morgan,6.0,65.0,1959-02-04,5j8nDrdRjiFfTtClB84Bto,Are You Lonesome Tonight,Zach Top,52.0,N,2022-05-13,0.709,0.535,-8.366,0.0307,0.592,4.24e-06,0.146,0.833,0.0,1.0,108.974,164.293
Are You Really Mine,Jimmie Rodgers,13.0,10.0,1958-01-01,3pHJK4HfvJ8nddZfsxMwTB,Are You Really Mine,I'm Falling In Love Again,28.0,N,2020-02-27,0.699,0.203,-16.538,0.0319,0.762,0.0,0.078,0.537,5.0,0.0,101.869,148.533
Artificial Flowers,Bobby Darin,12.0,20.0,1960-09-21,7LRlsrrX3IT7nyLUz1fT94,Artificial Flowers,The Ultimate Bobby Darin,27.0,N,2004-11-23,0.36,0.577,-6.611,0.0677,0.692,0.0,0.143,0.837,10.0,1.0,175.203,198.773
As If I Didn't Know,Adam Wade,5.0,14.0,1961-07-19,1jJ1GmnCRdy3cwaeU8KaCb,As If I Didn'T Know,"Cheatin' Hearts & Crazy Arms - Soul Country Tunes, Vol. 3",1.0,N,2022-08-01,0.414,0.382,-9.904,0.0341,0.524,0.0,0.396,0.479,4.0,1.0,105.383,180.427
As Time Goes By,Johnny Nash,11.0,43.0,1959-03-11,30SCXVFyQGOFMdKnbgJS18,I Can See Clearly Now,The Best Of,58.0,N,1996-05-04,0.658,0.468,-13.19,0.0493,0.521,8.38e-05,0.066,0.684,2.0,1.0,124.227,166.933
Asia Minor,Kokomo,14.0,8.0,1961-02-15,1IDxZRTxyr1nBuHVWhyBte,Kokomo (45 Version),Kokomo (45 Version),16.0,N,2017-12-29,0.377,0.65,-8.765,0.0331,0.164,0.00613,0.306,0.929,7.0,0.0,203.532,122.653
At Last,Etta James,8.0,47.0,1961-01-11,4Hhv2vrOTy89HFRcjU3QOx,At Last,At Last!,76.0,N,1960,0.274,0.348,-8.631,0.0293,0.547,0.0133,0.334,0.328,5.0,1.0,87.43,179.693
At My Front Door,Dee Clark,7.0,56.0,1960-03-09,4VfHt3eRQcXo50kWdtdcXV,At My Front Door,Rain Drops,1.0,N,1993-01-01,0.405,0.583,-11.908,0.0829,0.773,0.0,0.3,0.669,10.0,1.0,177.308,160.537
Baby (You've Got What It Takes),Dinah Washington & Brook Benton,15.0,5.0,1960-01-20,1kxk1MnNnKBEQZdTrByDic,"Baby, You’ve Got What It Takes",The Complete Dinah Washington On Mercury Vol. 6 (1958-1960),46.0,Y,1989-01-01,0.701,0.454,-11.871,0.0409,0.834,0.000138,0.449,0.819,3.0,1.0,132.297,168.0
Baby Blue,The Echoes,12.0,12.0,1961-03-01,5Kt64y0teh7Y23o8JHNC8l,Baby Blue,Goldisc Records From The Vault Volume 1,24.0,N,2006-02-13,0.5,0.373,-13.548,0.0275,0.779,0.0,0.0667,0.727,7.0,1.0,132.368,156.813
Baby Face,Little Richard,10.0,41.0,1958-09-10,5Ttwn2VJRE5cqj7SlyhieC,Baby Face,The Essential Little Richard,24.0,N,1985-01-01,0.616,0.527,-8.81,0.0311,0.128,0.0,0.176,0.493,10.0,1.0,107.427,135.133
Baby Oh Baby,The Shells,8.0,21.0,1960-12-14,7ydnbSJgu700d3ab1jpDBg,"Baby, Oh Baby",The Dubs Meet The Shells,30.0,N,1962,0.565,0.473,-8.42,0.0345,0.776,3.61e-06,0.278,0.595,0.0,0.0,107.275,148.56
Baby Sittin' Boogie,Buzz Clifford,14.0,6.0,1961-01-04,759mOolQH5z1Qn0aVnbZiV,Baby Sittin' Boogie,Baby Sittin' with Buzz Clifford,21.0,N,1961-05-26,0.549,0.457,-11.628,0.0711,0.963,1.18e-05,0.209,0.923,6.0,1.0,139.909,127.4
Baby Talk,Jan & Dean,12.0,10.0,1959-07-29,2aBNUHJEIZhNePKpCEBAW0,Baby Talk,Golden Hits (Vol. 1),20.0,N,1962-01-01,0.496,0.463,-14.526,0.0283,0.786,0.0,0.306,0.566,11.0,0.0,104.863,145.8
Baby What You Want Me To Do,Jimmy Reed,14.0,37.0,1960-02-10,05oMNN5Rbv6rVqyFFG9uTl,Baby What You Want Me To Do,The Very Best of Jimmy Reed,41.0,N,2003,0.582,0.302,-11.624,0.0353,0.947,0.0107,0.0931,0.642,9.0,1.0,94.288,144.427
Baby You're So Fine,Mickey & Sylvia,1.0,88.0,1961-07-19,2cKL7aoaaDJWNlDbpKwmuW,Baby You're so Fine,Presenting Mickey & Sylvia,1.0,N,1955-03-11,0.504,0.939,-8.896,0.0561,0.296,0.88,0.654,0.88,5.0,1.0,144.171,153.8
"Baby, You're Right",James Brown And The Famous Flames,1.0,94.0,1961-07-19,5WSG0pIDnY9ba67KgH8RHy,Baby You're Right,Think!,20.0,N,1960,0.364,0.292,-11.064,0.0301,0.36,4.19e-06,0.268,0.606,2.0,1.0,81.099,188.333
Baciare Baciare (Kissing Kissing),Dorothy Collins,10.0,43.0,1959-12-16,20JcxdRw8gvqTY1EEpYxHb,Misty Blue,Misty Blue,52.0,N,1976-03-01,0.394,0.243,-14.664,0.0302,0.658,0.00603,0.085,0.504,3.0,1.0,173.365,222.4
Back Beat No. 1,The Rondels,2.0,72.0,1961-07-19,5enF57d5Q3a3lL02B3VmUe,Back Beat No. 1,Grinding Raunchy Rockers From the '50s,7.0,N,2018-09-28,0.551,0.922,-6.014,0.0361,0.579,0.709,0.274,0.461,0.0,1.0,116.243,132.893
Back In The U.S.A.,Chuck Berry,8.0,37.0,1959-06-17,114gCJP9NGrrs5gjPU8RTi,Back In The U.S.A.,Chuck Berry Twist,39.0,N,1962-01-01,0.592,0.823,-6.165,0.0848,0.768,0.000541,0.0827,0.962,8.0,1.0,170.011,146.893
Bad Boy,Marty Wilde,8.0,45.0,1960-02-03,19i5F6KdCVpClxFHvIwNa3,Bad Boy,Marty: A Lifetime In Music 1957-2019,16.0,N,2019-06-07,0.579,0.323,-11.462,0.036,0.414,1.39e-05,0.142,0.518,9.0,1.0,130.209,143.147
Bad Girl,The Miracles,2.0,93.0,1959-09-30,7rXysDaMfN8j4EiTNQdMSu,Bad Girl (Remastered 2022),Everybody's Gotta Pay Some Dues (Remastered 2022),18.0,N,1961-01-10,0.396,0.278,-12.093,0.0267,0.714,1.93e-05,0.277,0.222,7.0,1.0,99.145,162.72
Bad Man Blunder,The Kingston Trio,10.0,37.0,1960-06-15,1mzAgAg2Bd4AMwphrbIIMv,Bad Man's Blunder - Remastered,The Capitol Collector's Series,13.0,N,1990-06-18,0.461,0.347,-18.178,0.117,0.797,0.0,0.081,0.701,4.0,1.0,174.043,159.227
Ballad Of A Girl And Boy,Graduates,3.0,74.0,1959-03-04,534etGne7iqehs8ZuGaf3n,Ballad of Girl and Boy,"Philadelphia's Doo-Wop Sound - Swan Masters, Vol. 1",1.0,Y,1996-02-01,0.384,0.342,-8.285,0.0281,0.907,0.0,0.113,0.499,6.0,1.0,96.823,163.133
Ballad Of The Alamo,Marty Robbins,13.0,34.0,1960-10-12,5uWTiJ1Ce5z5TcQLGZ6Tec,Ballad Of The Alamo,More Greatest Hits,42.0,N,1991-08-01,0.646,0.49,-10.475,0.0554,0.843,0.0,0.12,0.783,3.0,0.0,105.6,220.4
Banjo Boy,Jan And Kjeld,7.0,58.0,1960-06-08,4JRQGrFU6ZDybSxXatJuIm,Banjo Boy,Das Waren Schlager 3,1.0,N,2023-05-24,0.46,0.562,-6.406,0.0452,0.778,0.0,0.0741,0.773,10.0,1.0,168.328,149.387
Barbara,The Temptations,10.0,29.0,1960-04-13,325w4BD9TCtfUgRvGM7rn7,Symphony No. 9 ”Celestial Symphony”: III. Temptations,"Music of Barbara Harbach, Vol. 11: Orchestral Music III - Portraits in Sound",0.0,Y,2016-10-18,0.275,0.107,-19.574,0.0342,0.846,0.382,0.0919,0.31,0.0,0.0,75.072,284.747
Barbara-Ann,The Regents,10.0,13.0,1961-05-10,44iYHhqsZumnQedqNtOK6x,Barbara Ann,Barbara-Ann,35.0,N,2006-01-24,0.264,0.453,-13.253,0.0356,0.85,0.0,0.245,0.695,5.0,1.0,167.541,135.507
Battle Hymn Of The Republic,The Mormon Tabernacle Choir,16.0,13.0,1959-09-02,4ulHm2QEjdr4EkuFQ2rP9h,Battle Hymn of the Republic,The Mormon Tabernacle Choir's Greatest Hits - 22 Best-Loved Favorites,40.0,Y,1992-06-02,0.35,0.156,-18.86,0.0382,0.918,8.13e-06,0.162,0.179,10.0,1.0,118.147,284.307
Battle Of Gettysburg,Fred Darian,1.0,100.0,1961-02-22,7HkFPQouWNbR5lpHf0PtSH,Battle of Gettysburg,Battle of Gettysburg / Johnny Willow,0.0,N,2015-09-11,0.659,0.85,-11.322,0.0846,0.597,0.0,0.414,0.587,4.0,0.0,112.708,152.212
"Baubles, Bangles And Beads",The Kirby Stone Four,3.0,50.0,1958-01-01,5jvm5wPPPqTlpFyjlZhXTE,Kirby Down B,The Yuppies are Winning,49.0,N,2023-07-27,0.415,0.919,-3.879,0.0413,0.00012,0.000466,0.365,0.287,6.0,1.0,107.717,260.5
Be Bop A-Lula,The Everly Brothers,5.0,74.0,1960-07-06,1qCdquEdb78VKiSlC7Njbu,Be Bop A-Lula,The Everly Brothers,20.0,N,1958-01-01,0.549,0.748,-8.317,0.034,0.82,0.0,0.341,0.934,5.0,1.0,149.777,139.133
Be My Boy,Paris Sisters,5.0,56.0,1961-04-19,3zc6QLM7cXNwVED2oDLOQW,Be My Boy,The Paris Sisters,17.0,N,1961-11-26,0.327,0.267,-8.724,0.0317,0.906,2.27e-06,0.0914,0.365,1.0,1.0,182.84,118.933
Be My Guest,Fats Domino,14.0,8.0,1959-10-21,5UNgEkAGHeLHvAVNdi4okj,Be My Guest,The Complete Imperial Singles,25.0,N,2017-04-28,0.573,0.725,-5.074,0.0301,0.314,1.12e-05,0.203,0.963,10.0,1.0,147.72,118.066
Beach Time,Roger Smith,8.0,64.0,1959-06-24,0Rd9eBtumJxey9clCuexZt,Beach Time,Go Crazy! Hard To Find Jukebox Hits,3.0,N,2017-01-20,0.564,0.287,-13.285,0.0448,0.742,0.0,0.106,0.582,8.0,1.0,129.141,119.467
Beachcomber,Bobby Darin,1.0,100.0,1960-08-31,1PhAHwHFnCVMgIl1ObdkNN,Beachcomber,Sing & Swing with Bobby Darin,4.0,N,2007-10-30,0.615,0.396,-14.177,0.0315,0.965,0.728,0.113,0.674,0.0,1.0,127.874,136.853
Beatnik Fly,Johnny And The Hurricanes,13.0,15.0,1960-02-10,3uHrMzdYjAUbINHGTh7M5S,Beatnik Fly,Rock 'N' Roll Legend: Johnny And The Hurricanes,14.0,N,2008-01-01,0.541,0.62,-15.603,0.0332,0.888,0.288,0.12,0.931,5.0,1.0,88.364,129.667
Beautiful Delilah,Chuck Berry,1.0,81.0,1958-01-01,1ultsQiZijr0ZdwKqCsGPn,Beautiful Delilah,The Chess Box,9.0,N,1988-01-01,0.816,0.613,-13.703,0.0431,0.7,5.37e-05,0.106,0.957,0.0,1.0,106.376,135.24
Beautiful Obsession,Sir Chauncey and his exciting strings,4.0,89.0,1960-04-20,5bt2seEMbgOkzkmTMwgTKu,A Beautiful Distraction,Waking the Muse,44.0,N,2013-05-15,0.261,0.118,-21.228,0.0418,0.969,0.913,0.0911,0.0528,0.0,1.0,71.055,216.973
Because They're Young,Duane Eddy And The Rebels,15.0,4.0,1960-05-18,6TeMOkAm5GethXDSfjkkd3,Because They're Young (Rerecorded),Duane Eddy - His Very Best Twang,14.0,N,2008-03-29,0.581,0.644,-10.684,0.0397,0.526,0.957,0.606,0.953,4.0,1.0,121.62,116.68
Because You're Young,Jimmie Rodgers,5.0,62.0,1959-03-04,6dcviqcIYX4PipTIa1tSUJ,Because You're Young,Honeycomb,0.0,N,2021-01-15,0.403,0.0784,-14.819,0.0311,0.884,0.0,0.0764,0.228,3.0,1.0,96.166,146.533
Beep Beep,The Playmates,15.0,4.0,1958-10-29,5dDwT5cisTZakuzbYUjxFf,Beep Beep,Right Said Fred: A Barrel Of Laughs,29.0,N,2017-03-03,0.52,0.503,-6.289,0.276,0.724,0.0,0.226,0.759,4.0,0.0,76.545,150.213
Before I Grow Too Old,Fats Domino,2.0,84.0,1960-05-04,46HWAi2wZzWQaRuSuX7Kdu,Before I Grow Too Old - Remastered 2002,The Complete Imperial Singles,6.0,N,2017-04-28,0.364,0.647,-5.469,0.0394,0.202,0.0,0.114,0.829,5.0,1.0,71.602,152.101
Bei Mir Bist Du Schön,Louis Prima And Keely Smith,6.0,69.0,1959-07-01,0jbrk06CS9siNsEcx6CgCD,Buona Sera - Remastered 1999,"Wild, Cool & Swingin'",41.0,Y,1999-01-01,0.539,0.37,-11.355,0.0566,0.748,0.0,0.0495,0.846,3.0,1.0,95.248,179.493
Believe Me,Royal Teens,15.0,26.0,1959-10-21,4Erx2XUDpRpw2BR140o4Kr,Believe Me,Short Shorts,9.0,N,2022-01-01,0.404,0.525,-6.696,0.0374,0.874,0.00247,0.161,0.576,0.0,1.0,153.69,151.44
"Bells, Bells, Bells (The Bell Song)",Billy & Lillie,6.0,88.0,1959-07-08,2JMHqwj6f4lHd83VlVaTjm,"Bells, Bells, Bells (The Bell Song)",La Dee Dah and Other Hits!,0.0,N,2023-05-05,0.701,0.551,-13.741,0.0317,0.644,2.19e-06,0.491,0.974,7.0,1.0,121.77,123.113
Besame Mucho (Part I),The Coasters,3.0,70.0,1960-04-27,0giG9rN3UBRB0qyM6MWOU3,Besame Mucho (Pt. I) - 2007 Remaster; Remastered,There's A Riot Goin' On: The Coasters On Atco,9.0,N,2007-12-07,0.694,0.599,-8.731,0.0419,0.448,0.0,0.26,0.97,5.0,0.0,137.341,136.507
Better Tell Him No,The Starlets,13.0,38.0,1961-04-19,5tscs7pvEkhPtZS2Bi1Q0p,Better Tell Him No,Rock Essentials,1.0,N,2015-01-15,0.413,0.628,-4.441,0.0522,0.739,0.0,0.608,0.865,8.0,1.0,87.096,153.307
Betty Lou Got A New Pair Of Shoes,Bobby Freeman,9.0,37.0,1958-01-01,7h7U3OYppI7HpgFqCc2VZ3,Betty Lou Got A New Pair Of Shoes,Do You Wanna Dance,9.0,N,2005-05-17,0.427,0.617,-13.57,0.0475,0.217,0.0,0.151,0.926,2.0,1.0,165.836,149.2
Betty My Angel,Jerry Fuller,2.0,90.0,1959-08-26,6WGFdJ3lRB7e0VDNEzpiAh,Oh My Angel,Goodies Old Is New: Come Dance With Me,43.0,N,2004-01-02,0.451,0.367,-7.147,0.0251,0.84,5.29e-05,0.183,0.237,0.0,1.0,95.467,142.853
Bewildered,James Brown And The Famous Flames,8.0,40.0,1961-02-22,3yEJaav55jS4ZVImqiJP6r,Bewildered,Think!,28.0,N,1960,0.468,0.4,-9.843,0.0322,0.461,0.0,0.112,0.43,5.0,1.0,104.929,146.933
Beyond The Sea,Bobby Darin,14.0,6.0,1960-01-13,3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,That's All,68.0,N,1959,0.521,0.516,-7.456,0.0369,0.723,0.0,0.257,0.569,2.0,0.0,136.483,172.48
Beyond The Sunset,Pat Boone,5.0,71.0,1959-11-25,4prEHLIcYHjNhYYKeoit8M,Beyond The Sunset,Hymns We Love (Expanded Edition),4.0,N,1957-11-01,0.293,0.0602,-18.437,0.0347,0.956,7.12e-05,0.157,0.252,2.0,1.0,87.9,149.693
Big Big World,Johnny Burnette,7.0,58.0,1961-04-26,2IlixBikcetbEkhRZb0S19,Big Big World,Sings,8.0,Y,1961-02-23,0.617,0.322,-10.969,0.0314,0.521,0.0,0.222,0.606,4.0,1.0,112.241,143.067
Big Bopper's Wedding,Big Bopper,7.0,38.0,1958-12-03,5ZWuiWcMTBohMTTfdD5qys,Big Bopper's Wedding,Chantilly Lace,31.0,N,1958-01-01,0.621,0.86,-5.977,0.0965,0.796,0.0,0.0595,0.969,10.0,1.0,94.943,132.04
Big Boss Man,Jimmy Reed,3.0,78.0,1961-05-24,7LhYCokNBDYsVF0A0x95Pc,Big Boss Man,Found Love,33.0,N,1960-01-01,0.706,0.473,-12.673,0.0298,0.492,0.00627,0.0832,0.92,9.0,1.0,78.11,170.319
Big Boy Pete,The Olympics,14.0,50.0,1960-05-18,1JHfWKOBHAy3BDtXDRRmT6,Big Boy Pete '65,Big Boy Pete '65,13.0,N,1960-03-02,0.616,0.736,-9.156,0.058,0.828,0.0156,0.117,0.818,10.0,1.0,131.495,149.123
Big Brown Eyes,The Redjacks,2.0,84.0,1958-09-10,5JLf54f83nJrxD4IhFaLl7,Brown Eyes Baby,Brown Eyes Baby,56.0,N,2022-07-08,0.565,0.823,-4.973,0.0328,0.232,3.89e-06,0.0715,0.522,8.0,1.0,141.972,224.333
Big Cold Wind,Pat Boone,1.0,76.0,1961-07-19,1HJD2ASupHxWutYU2E5xH6,Big Cold Wind,Pat Boone's Golden Hits Featuring Speedy Gonzales,1.0,N,1962-08-01,0.732,0.553,-8.021,0.0394,0.744,0.0,0.223,0.826,7.0,1.0,136.059,131.653
Big Daddy,Jill Corey,2.0,96.0,1958-08-27,5BTL9AWVWz8BMLm8I9uXwg,Big Daddy - Performed Live On The Ed Sullivan Show 12/7/58,Big Daddy (Performed Live On The Ed Sullivan Show/1958),0.0,N,2010-01-01,0.412,0.241,-14.8,0.0441,0.995,0.328,0.173,0.395,5.0,1.0,102.108,151.051
Big Iron,Marty Robbins,10.0,26.0,1960-03-09,0AQquaENerGps8BQmbPw14,Big Iron,Gunfighter Ballads And Trail Songs,69.0,N,1959,0.726,0.474,-7.834,0.0491,0.803,0.0,0.258,0.57,1.0,0.0,116.027,235.733
Big Man,The Four Preps,1.0,67.0,1958-01-01,0KayDFomB8iDyAdOpKfKTK,Big Man,"The Single Collection, Vol. 1",30.0,N,2007-11-27,0.523,0.509,-8.451,0.03,0.914,0.0,0.267,0.789,3.0,1.0,125.539,143.267
"Big River, Big Man",Claude King,1.0,94.0,1961-07-12,4ZI24J7OFz908Ct3MJwumx,"Big River, Big Man",Meet Claude King,25.0,N,1962-07-01,0.579,0.423,-10.761,0.0355,0.816,0.0,0.0859,0.815,3.0,1.0,150.772,147.133
Billy Bayou,Jim Reeves,1.0,95.0,1958-12-03,2xEOkH1LBwKvPHVbdPnA5c,Billy Bayou,The Essential Jim Reeves,24.0,N,1997-02-14,0.54,0.563,-10.649,0.0787,0.676,0.0,0.149,0.895,2.0,1.0,166.563,123.693
