title,artist,weeks,peak_rank,date
Sea Of Heartbreak,Don Gibson,10.0,36.0,1961-06-14
Sea Of Love,Phil Phillips With The Twilights,18.0,2.0,1959-07-01
Second Honeymoon,Johnny Cash,4.0,79.0,1960-06-29
Secret Of Love,Elton Anderson With Sid Lawrence Combo,4.0,88.0,1960-01-20
Secretly,Jimmie Rodgers,3.0,28.0,1958-01-01
See You In September,The Tempos,14.0,23.0,1959-06-24
Send Me The Pillow You Dream On,The Browns Featuring Jim Edward Brown,7.0,56.0,1960-11-09
Senza Mamma (With No One),Connie Francis,1.0,87.0,1960-11-02
Separate Ways,Sarah Vaughan,1.0,96.0,1959-04-29
Serenata,Sarah Vaughan,6.0,82.0,1960-10-05
Sermonette,Della Reese,1.0,99.0,1958-12-31
Seven Minutes In Heaven,Poni-Tails,3.0,85.0,1958-11-26
Seventeen,Frankie Ford,5.0,72.0,1961-03-15
Shadows,5 Satins,3.0,87.0,1959-11-25
Shadows Of Love,LaVern Baker,4.0,83.0,1960-05-18
Shazam!,Duane Eddy His Twangy Guitar And The Rebels,7.0,45.0,1960-03-16
She Say (Oom Dooby Doom),The Diamonds,14.0,18.0,1959-01-21
She Was Only Seventeen (He Was One Year More),Marty Robbins,13.0,27.0,1958-01-01
She's Just A Whole Lot Like You,Hank Thompson,1.0,99.0,1960-07-20
She's Mine,Conway Twitty,1.0,98.0,1960-08-03
Shimmy Like Kate,The Olympics,11.0,42.0,1960-09-07
"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,16.0,24.0,1959-12-02
Shirley,John Fred And The Playboys,5.0,82.0,1959-02-18
Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)",16.0,2.0,1960-12-07
Shoppin' For Clothes,The Coasters,4.0,83.0,1960-09-28
Shortnin' Bread,Paul Chaplain and his Emeralds,4.0,82.0,1960-08-24
Should I,The String-A-Longs,6.0,42.0,1961-06-07
Shout - Part 1,The Isley Brothers,9.0,47.0,1959-09-16
Shu Rah,Fats Domino,7.0,32.0,1961-03-15
Shy Away,Jerry Fuller,4.0,71.0,1961-04-19
Side Car Cycle,Charlie Ryan and the Timberline Riders,6.0,84.0,1960-10-12
Silent Night,Bing Crosby With John Scott Trotter And His Orchestra & Max Terr's Mixed Chorus,2.0,54.0,1960-12-14
Since I Don't Have You,The Skyliners,19.0,12.0,1959-02-11
Since I Made You Cry,The Rivieras,3.0,93.0,1960-01-13
Since I Met You Baby,Bobby Vee,1.0,81.0,1960-09-07
Since You've Been Gone,Clyde McPhatter,13.0,38.0,1959-06-10
Sing Sing Sing,Bernie Lowe Orchestra,7.0,46.0,1958-11-19
Sink The Bismark,Johnny Horton,18.0,3.0,1960-03-02
Six Boys And Seven Girls,Anita Bryant,6.0,62.0,1959-09-16
Six Nights A Week,The Crests,13.0,28.0,1959-03-18
Sixteen Reasons,Connie Stevens,24.0,3.0,1960-01-27
Ski King,E.C. Beatty,6.0,50.0,1959-09-16
Skokiaan (South African Song),Bill Haley And His Comets,6.0,70.0,1959-12-30
Sleep,Little Willie John,16.0,13.0,1960-08-31
Sleep Walk,Santo & Johnny,18.0,1.0,1959-07-22
Sleepy Lagoon,The Platters,5.0,65.0,1960-02-17
Sleepy-Eyed John,Johnny Horton,7.0,54.0,1961-03-22
Small World,Johnny Mathis,15.0,20.0,1959-06-10
Smile,Tony Bennett,6.0,73.0,1959-08-12
Smoke Gets In Your Eyes,The Platters,19.0,1.0,1958-11-12
Smokie - Part 2,Bill Black's Combo,12.0,17.0,1959-11-25
Smokie-Part 2,Bill Doggett,2.0,95.0,1959-12-30
Smooth Operator,Sarah Vaughan,9.0,44.0,1959-10-28
So Close,Brook Benton,7.0,38.0,1959-05-13
So Fine,The Fiestas,16.0,11.0,1959-04-01
So High So Low,LaVern Baker,10.0,52.0,1959-07-22
So Many Ways,Brook Benton,16.0,6.0,1959-10-14
So Much,Little Anthony And The Imperials,2.0,87.0,1958-12-17
So Sad (To Watch Good Love Go Bad),The Everly Brothers,12.0,7.0,1960-08-31
So Young,Clyde Stacy,2.0,99.0,1959-11-11
Soldier's Joy,Hawkshaw Hawkins,2.0,87.0,1959-07-29
Some Kind Of Wonderful,The Drifters,11.0,32.0,1961-03-15
Some Kind-A Earthquake,Duane Eddy His Twangy Guitar And The Rebels,8.0,37.0,1959-09-30
Somebody To Love,Bobby Darin,9.0,45.0,1960-09-21
Somebody Touched Me,Buddy Knox with the Rhythm Orchids,14.0,22.0,1958-01-01
Someday (You'll Want Me To Want You),Jodie Sands,1.0,95.0,1958-10-22
Someday (You'll Want Me to Want You),Della Reese,7.0,56.0,1960-03-16
Someday You'll Want Me To Want You,Brook Benton,1.0,93.0,1960-12-21
Someone,Johnny Mathis,13.0,35.0,1959-03-18
"Someone Loves You, Joe",The Singing Belles,3.0,91.0,1960-04-13
Someone To Come Home To,The Ames Brothers,4.0,78.0,1959-05-13
Somethin Else,Eddie Cochran,9.0,58.0,1959-08-26
Something Happened,Paul Anka,9.0,41.0,1960-05-25
Son-In-Law,The Blossoms,5.0,76.0,1961-05-03
Sorry (I Ran All The Way Home),The Impalas,18.0,2.0,1959-03-11
Sound-Off,Titus Turner,4.0,77.0,1961-01-11
Spanish Harlem,Ben E. King,16.0,10.0,1960-12-28
Splish Splash,Bobby Darin,8.0,3.0,1958-01-01
Spoonful,Etta & Harvey,3.0,78.0,1960-12-21
Spring Rain,Pat Boone,8.0,50.0,1960-05-25
Stagger Lee,Lloyd Price,21.0,1.0,1958-12-03
Stairway To Heaven,Neil Sedaka,15.0,9.0,1960-03-23
Stand By Me,Ben E. King,11.0,4.0,1961-05-03
Star Love,The Playmates,4.0,75.0,1959-03-25
Starbright,Johnny Mathis,11.0,25.0,1960-02-24
Starlight,The Preludes Five,2.0,89.0,1961-07-19
"Starlight, Starbright",Linda Scott,4.0,47.0,1961-07-12
Starry Eyed,Gary Stites,7.0,77.0,1959-10-28
Stay,The Ames Brothers,18.0,1.0,1958-01-01
Stayin' In,Bobby Vee,7.0,33.0,1961-02-08
Step By Step,The Crests,15.0,14.0,1960-02-24
Stick With Me Baby,The Everly Brothers,4.0,41.0,1961-05-31
Sticks And Stones,Ray Charles and his Orchestra,8.0,40.0,1960-06-22
Straight A's In Love,Johnny Cash And The Tennessee Two,2.0,84.0,1960-03-09
Straight Flush,The Frantics,3.0,91.0,1959-05-20
Straighten Up & Fly Right,DeJohn Sisters,2.0,73.0,1958-08-13
Strange Are The Ways Of Love,Gogi Grant,3.0,80.0,1958-08-20
Stranger From Durango,Richie Allen,2.0,90.0,1960-11-16
String Along,Fabian,8.0,39.0,1960-02-17
Stuck On You,Elvis Presley With The Jordanaires,16.0,1.0,1960-03-30
Stupid Cupid,Connie Francis,13.0,17.0,1958-01-01
Suddenly,Nickey DeMatteo,2.0,90.0,1960-03-02
Sugar Bee,Cleveland Crochet and Band,5.0,80.0,1960-12-28
Sugaree,Rusty York,3.0,77.0,1959-07-15
Summer Dreams,The McGuire Sisters,7.0,55.0,1959-04-22
Summer Set,Monty Kelly And His Orchestra,11.0,30.0,1960-02-24
Summer Souvenirs,"Karl Hammel, Jr.",4.0,80.0,1961-07-19
Summer's Gone,Paul Anka,11.0,11.0,1960-09-21
Summer's Love,Richard Barrett With The Chantels,2.0,93.0,1959-07-15
Summertime,The Marcels,3.0,78.0,1961-05-24
Summertime Blues,Eddie Cochran,16.0,8.0,1958-01-01
"Summertime, Summertime",The Jamies,11.0,26.0,1958-08-13
Sunday Barbecue,Tennessee Ernie Ford,1.0,97.0,1958-08-06
Surrender,Elvis Presley With The Jordanaires,12.0,1.0,1961-02-15
Susie Darlin',Robin Luke,17.0,5.0,1958-08-06
Suzie Baby,Bobby Vee and The Shadows,4.0,77.0,1959-08-26
Sway,Bobby Rydell,11.0,14.0,1960-11-02
Sweet Annie Laurie,Sammy Turner and The Twisters,1.0,100.0,1959-03-18
Sweet Bird Of Youth,Nat King Cole,2.0,96.0,1959-08-26
Sweet Chile,Sheb Wooley,6.0,70.0,1959-05-27
Sweet Dreams,Don Gibson,4.0,93.0,1960-11-09
Sweet Little Kathy,Ray Peterson,1.0,100.0,1961-03-29
Sweet Little Rock And Roller,Chuck Berry,9.0,47.0,1958-11-05
Sweet Nothin's,Brenda Lee,24.0,4.0,1959-12-16
Sweet Someone,Eddie and Betty,4.0,87.0,1959-06-24
Sweet Sugar Lips,The Kalin Twins,1.0,97.0,1959-07-01
Sweeter Than You,Ricky Nelson,12.0,9.0,1959-07-01
Sweetheart,Peggy Lee,2.0,98.0,1958-11-19
Swingin' Down The Lane,Jerry Wallace,2.0,79.0,1960-07-27
Swingin' On A Rainbow,Frankie Avalon,6.0,39.0,1959-12-16
Swingin' School,Bobby Rydell,12.0,5.0,1960-05-04
Symphony,Sammy Turner,3.0,82.0,1959-11-25
T.L.C. Tender Love And Care,Jimmie Rodgers,10.0,24.0,1960-01-06
Ta Ta,Clyde McPhatter,14.0,23.0,1960-07-13
Taboo,Arthur Lyman,6.0,55.0,1959-06-10
Take A Fool's Advice,Nat King Cole,4.0,81.0,1961-06-21
Take A Message To Mary,The Everly Brothers,13.0,16.0,1959-03-25
Take Good Care Of Her,Adam Wade,14.0,7.0,1961-03-08
Take Good Care Of My Baby,Bobby Vee,3.0,31.0,1961-07-19
Talk Of The School,Sonny James,5.0,85.0,1959-04-29
Talk That Talk,Jackie Wilson,12.0,34.0,1959-11-18
Talk To Me,Frank Sinatra,11.0,38.0,1959-10-14
Talk To Me Baby,Annette With The Afterbeats,2.0,92.0,1960-12-21
Tall Cool One,The Wailers,13.0,36.0,1959-05-13
Tall Paul,Annette With The Afterbeats,15.0,7.0,1958-12-31
Tallahassee Lassie,Freddy Cannon,15.0,6.0,1959-05-06
Te-Ta-Te-Ta-Ta,Ernie K-Doe,4.0,53.0,1961-06-21
Tea For Two Cha Cha,The Tommy Dorsey Orchestra,20.0,7.0,1958-08-27
Teach Me Tiger,April Stevens,3.0,86.0,1959-11-25
Teach Me Tonight Cha Cha,The DeCastro Sisters,4.0,76.0,1958-12-31
Tear Drop,Santo & Johnny,11.0,23.0,1959-11-25
Teardrops In My Heart,Joe Barry,4.0,66.0,1961-07-19
Teardrops On Your Letter,Hank Ballard And The Midnighters,3.0,87.0,1959-03-04
Teardrops Will Fall,Dicky Doo And The Don'ts,6.0,61.0,1959-01-28
Tears On My Pillow,Little Anthony And The Imperials,19.0,4.0,1958-08-06
"Teasable, Pleasable You",Buddy Knox,2.0,85.0,1959-01-14
Teasin',Quaker City Boys,9.0,39.0,1958-12-17
Teddy,Connie Francis,11.0,17.0,1960-02-24
Teen Angel,Mark Dinning,18.0,1.0,1959-12-16
Teen Beat,Sandy Nelson,16.0,4.0,1959-09-02
Teen-Ex,The Browns Featuring Jim Edward Brown,7.0,47.0,1960-03-23
Teenage Hayride,Tender Slim,2.0,93.0,1960-01-06
Teenage Heaven,Eddie Cochran,1.0,99.0,1959-03-11
Teenage Sonata,Sam Cooke,7.0,50.0,1960-03-09
Teensville,Chet Atkins,3.0,73.0,1960-02-10
Tell Her For Me,Adam Wade,7.0,66.0,1960-01-06
Tell Him No,Travis & Bob,13.0,8.0,1959-03-18
Tell Laura I Love Her,Ray Peterson,14.0,7.0,1960-06-08
Tell Me That You Love Me,Fats Domino,7.0,51.0,1960-04-20
Tell Me Why,The Belmonts,9.0,18.0,1961-05-17
Telling Lies,Fats Domino,9.0,50.0,1959-02-11
Temptation,Roger Williams,6.0,27.0,1961-05-24
Ten Commandments Of Love,Harvey & The Moonglows,16.0,22.0,1958-09-10
Ten Thousand Drums,Carl Smith,9.0,43.0,1959-07-01
Tender Years,George Jones,3.0,77.0,1961-06-28
Tenderly,Bert Kaempfert And His Orchestra,7.0,31.0,1961-03-22
Tennessee Stud,Eddy Arnold,10.0,48.0,1959-07-08
Tennessee Waltz,Jerry Fuller,7.0,52.0,1959-10-14
Thank You Pretty Baby,Brook Benton,14.0,16.0,1959-07-08
That Old Black Magic,Louis Prima And Keely Smith,13.0,18.0,1958-10-29
That Old Feeling,Kitty Kallen,5.0,55.0,1960-01-27
That's All I Want,Bobby Day,1.0,98.0,1959-04-15
That's All You Gotta Do,Brenda Lee,14.0,6.0,1960-06-01
That's How Much,Brian Hyland,4.0,74.0,1960-10-19
That's How Much I Love You,Pat Boone,6.0,39.0,1958-01-01
That's It - I Quit - I'm Movin' On,Sam Cooke,8.0,31.0,1961-03-01
That's My Little Suzie,Ritchie Valens,8.0,55.0,1959-04-01
That's The Way With Love,Piero Soffici,7.0,59.0,1961-04-19
That's What Girls Are Made For,The Spinners,4.0,37.0,1961-06-21
That's When I Cried,Jimmy Jones,5.0,83.0,1960-07-06
That's Why (I Love You So),Jackie Wilson,13.0,13.0,1959-03-18
That's Why I Cry,Buddy Knox,2.0,88.0,1958-12-31
The Age For Love,Jimmy Charles,12.0,47.0,1960-11-30
The All American Boy,Bill Parsons,16.0,2.0,1958-12-17
The Angels Listened In,The Crests,16.0,22.0,1959-08-12
The Answer To A Maiden's Prayer,June Valli,5.0,71.0,1959-02-25
The Astronaut (Parts 1 & 2),Jose Jimenez,2.0,90.0,1961-07-05
The Ballad Of Thunder Road,Robert Mitchum,11.0,62.0,1958-09-03
The Battle Of Kookamonga,Homer And Jethro,10.0,14.0,1959-09-02
The Battle Of New Orleans,Johnny Horton,21.0,1.0,1959-04-22
The Beat,The Rockin R's,8.0,57.0,1959-03-18
The Bells,James Brown,6.0,68.0,1960-11-09
The Best Of Everything,Johnny Mathis,5.0,62.0,1959-11-11
The Big Hurt,Miss Toni Fisher,17.0,3.0,1959-11-11
The Big Time Spender (Parts I & II),Cornbread & Biscuits,5.0,75.0,1960-11-09
The Bilbao Song,Andy Williams,10.0,37.0,1961-04-19
The Bird On My Head,David Seville,1.0,79.0,1958-01-01
The Blizzard,Jim Reeves,4.0,62.0,1961-03-15
The Blob,The Five Blobs,10.0,33.0,1958-10-01
"The Bluebird, The Buzzard & The Oriole",Bobby Day,6.0,54.0,1958-12-24
The Boll Weevil Song,Brook Benton,15.0,2.0,1961-05-10
The Brigade Of Broken Hearts,Paul Evans,4.0,81.0,1960-08-03
The Caterpillar Crawl,The Strangers,7.0,49.0,1959-08-26
The Charanga,Merv Griffin,4.0,69.0,1961-04-05
The Charleston,Ernie Fields,10.0,63.0,1961-06-14
The Chick,Lee and Paul,1.0,100.0,1959-03-25
The Children's Marching Song (Nick Nack Paddy Whack),"Mitch Miller and his ""Sing Along With Mitch"" Chorus",14.0,16.0,1959-01-07
The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra,14.0,13.0,1959-01-07
The Chipmunk Song,The Chipmunks With David Seville,13.0,1.0,1958-11-26
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,8.0,41.0,1959-12-09
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",2.0,80.0,1960-12-07
The Class,Chubby Checker,7.0,38.0,1959-05-13
The Clouds,The Spacemen,14.0,41.0,1959-10-14
The Continental Walk,Hank Ballard And The Midnighters,8.0,33.0,1961-04-05
The Day I Died,The Playmates,2.0,81.0,1958-09-24
The Day The Rains Came,Jane Morgan,15.0,21.0,1958-10-22
The Diary,Neil Sedaka,15.0,14.0,1958-12-03
The Enchanted Sea,The Islanders,13.0,15.0,1959-09-23
The End,Earl Grant,19.0,7.0,1958-09-10
The Exodus Song (This Land Is Mine),Pat Boone,6.0,64.0,1961-01-18
The Fish,Bobby Rydell,3.0,32.0,1961-06-28
The Five Pennies,Dodie Stevens,1.0,89.0,1959-06-24
The Float,Hank Ballard And The Midnighters,1.0,92.0,1961-06-14
The Fool And The Angel,Bobby Helms,6.0,75.0,1958-12-03
The Fountain Of Youth,The Four Lads,2.0,90.0,1959-04-29
The Freeze,Tony And Joe,6.0,33.0,1958-01-01
The Girl On Page 44,The Four Lads,10.0,52.0,1958-12-31
The Girl With The Story In Her Eyes,Safaris with The Phantom's Band,3.0,85.0,1960-10-12
The Girl's A Devil,The Dukays,10.0,64.0,1961-05-10
The Graduation Song... Pomp And Circumstance,Adrian Kimberly,4.0,34.0,1961-06-21
The Green Leaves Of Summer,The Brothers Four,7.0,65.0,1960-10-26
The Green Mosquito,The Tune Rockers,10.0,44.0,1958-08-20
The Guns Of Navarone,Joe Reisman Orch. & Chorus,2.0,96.0,1961-06-28
The Hanging Tree,Marty Robbins,13.0,38.0,1959-01-28
The Happy Muleteer,Ivo Robic,6.0,58.0,1960-01-13
The Happy Organ,"Dave ""Baby"" Cortez",17.0,1.0,1959-03-11
The Happy Reindeer,"Dancer, Prancer And Nervous",6.0,34.0,1959-12-02
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,20.0,11.0,1958-12-24
The Hoochi Coochi Coo,Hank Ballard And The Midnighters,11.0,23.0,1960-11-30
The Hucklebuck,Chubby Checker,13.0,14.0,1960-10-05
The Hula Hoop Song,Georgia Gibbs,5.0,32.0,1958-10-01
The Hunch,Bobby Peterson Quintet,7.0,68.0,1959-10-21
The Kissing Tree,Billy Grammer,7.0,60.0,1959-04-08
The Last Dance,The McGuire Sisters,1.0,99.0,1960-08-10
The Last One To Know,The Fleetwoods,1.0,96.0,1960-10-12
The Little Drummer Boy,The Harry Simeone Chorale,20.0,13.0,1959-12-16
The Little Space Girl,Jesse Lee Turner,12.0,20.0,1958-12-31
The Lonely Crowd,Teddy Vann,4.0,76.0,1961-05-31
The Lonely One,Duane Eddy His Twangy Guitar And The Rebels,13.0,23.0,1959-01-14
The Lovin' Touch,Mark Dinning,6.0,84.0,1960-08-17
The Madison,Al Brown's Tunetoppers Featuring Cookie Brown,12.0,23.0,1960-03-30
The Madison Time - Part I,Ray Bryant Combo,9.0,30.0,1960-04-06
The Magnificent Seven,Al Caiola And His Orchestra,12.0,35.0,1960-11-30
The Mess Around,Bobby Freeman,2.0,89.0,1961-04-12
The Mocking Bird,The Four Lads,10.0,32.0,1958-10-29
The Morning Side Of The Mountain,Tommy Edwards,12.0,27.0,1959-02-25
The Most Beautiful Words,Della Reese,5.0,67.0,1961-02-01
The Mountain's High,Dick and DeeDee,4.0,42.0,1961-07-19
The Mummy,Bob McFadden And Dor,8.0,39.0,1959-08-19
The Next Kiss (Is The Last Goodbye),Conway Twitty,4.0,72.0,1961-03-29
The Old Lamplighter,The Browns Featuring Jim Edward Brown,15.0,5.0,1960-03-09
The Old Oaken Bucket,Tommy Sands,4.0,73.0,1960-08-17
The Old Payola Roll Blues (Side I),Stan Freberg,1.0,99.0,1960-02-24
The One Rose (That's Left In My Heart),Teresa Brewer,5.0,75.0,1958-12-31
The Puppet Song,Frankie Avalon,7.0,56.0,1960-12-07
The Purple People Eater,Sheb Wooley,4.0,24.0,1958-01-01
The Purple People Eater Meets The Witch Doctor,Joe South,2.0,89.0,1958-01-01
The Quiet Three,Duane Eddy His Twangy Guitar And The Rebels,8.0,46.0,1959-06-24
The Reason,The 5 Chanels,1.0,98.0,1958-12-17
The Same Old Me,Guy Mitchell,6.0,51.0,1960-02-24
The Same One,Brook Benton,12.0,16.0,1960-08-17
The Search,Dean Reed,1.0,96.0,1959-02-25
The Second Time Around,Frank Sinatra,7.0,50.0,1961-03-01
The Secret,Gordon MacRae,13.0,18.0,1958-09-10
The Shag (Is Totally Cool),Billy Graves,9.0,53.0,1959-01-21
The Shape I'm In,Johnny Restivo,3.0,80.0,1959-09-02
The Sound Of Music,Patti Page,3.0,90.0,1959-12-23
The Story Of My Love,Conway Twitty,12.0,16.0,1959-01-21
The Story Of Our Love,Johnny Mathis,2.0,93.0,1959-10-07
The Sundowners,Billy Vaughn And His Orchestra,10.0,51.0,1960-09-28
The Switch-A-Roo,Hank Ballard And The Midnighters,4.0,33.0,1961-06-21
The Tear Of The Year,Jackie Wilson,7.0,44.0,1961-01-18
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,8.0,29.0,1958-11-26
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,21.0,1.0,1960-01-06
The Three Bells,The Browns,17.0,1.0,1959-07-22
The Three Bells (The Jimmy Brown Story),Dick Flood,8.0,23.0,1959-08-26
The Ties That Bind,Brook Benton,9.0,37.0,1960-04-06
The Tijuana Jail,The Kingston Trio,13.0,12.0,1959-03-18
The Touchables,Dickie Goodman,7.0,60.0,1961-02-15
The Touchables In Brooklyn,Dickie Goodman,6.0,42.0,1961-04-19
The Twist,Hank Ballard And The Midnighters,18.0,1.0,1960-07-13
The Urge,Freddy Cannon,3.0,60.0,1960-05-11
The Very Thought Of You,Little Willie John,6.0,61.0,1961-03-08
The Village Of St. Bernadette,Andy Williams,13.0,7.0,1959-12-09
The Voice In My Heart,Eydie Gorme,1.0,88.0,1958-12-24
The Walls Have Ears,Patti Page,4.0,77.0,1959-04-08
The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha),Pat Boone,4.0,62.0,1959-04-15
The Watusi,The Vibrations,8.0,25.0,1961-02-15
The Way I Walk,Jack Scott,14.0,35.0,1959-06-24
The Way Of A Clown,Teddy Randazzo,9.0,44.0,1960-04-13
The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,11.0,24.0,1958-08-20
The Wayward Wind,Gogi Grant,9.0,50.0,1961-04-19
The Wedding,June Valli,13.0,43.0,1958-11-19
The Whiffenpoof Song,Bob Crewe,2.0,96.0,1960-01-27
The Whistling Organ,"Dave ""Baby"" Cortez",8.0,61.0,1959-06-03
The Wizard,Jimmie Rodgers,7.0,45.0,1958-08-06
The Wonder Of You,Ray Peterson,16.0,25.0,1959-05-13
The World Outside,The Four Coins,11.0,21.0,1958-11-19
The Worryin' Kind,Tommy Sands And The Raiders,9.0,69.0,1958-12-24
"The Wreck Of The ""John B""",Jimmie Rodgers,9.0,64.0,1960-07-27
The Writing On The Wall,Adam Wade,10.0,5.0,1961-05-10
The Yen Yet Song,Gary Cane And His Friends,1.0,99.0,1960-06-01
Them That Got,Ray Charles and his Orchestra,6.0,58.0,1961-01-11
Theme For Young Lovers,Percy Faith And His Orchestra,10.0,35.0,1960-05-04
"Theme From ""The Unforgiven"" (The Need For Love)",Don Costa And His Orchestra And Chorus,13.0,27.0,1960-04-27
Theme From Adventures In Paradise,Jerry Byrd,1.0,97.0,1960-07-27
Theme From Dixie,Duane Eddy,7.0,39.0,1961-03-15
Theme From The Apartment,Ferrante & Teicher,20.0,10.0,1960-07-20
Theme From The Sundowners,Felix Slatkin Orchestra and Chorus,8.0,70.0,1960-09-28
Theme from Tunes Of Glory,The Cambridge Strings And Singers,6.0,60.0,1961-02-08
There Comes A Time,Jack Scott,5.0,71.0,1959-10-07
There Goes My Baby,The Drifters,19.0,2.0,1959-05-27
There Goes My Heart,Joni James,16.0,19.0,1958-09-10
There Is Something On Your Mind,Big Jay McNeely And Band,16.0,44.0,1959-05-20
There Must Be A Way,Joni James,12.0,33.0,1959-01-14
There She Goes,Jerry Wallace,10.0,26.0,1960-12-21
There's A Girl,Jan & Dean,3.0,97.0,1959-10-21
There's A Moon Out Tonight,The Capris,14.0,3.0,1960-12-28
There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),Red River Dave,6.0,64.0,1960-06-22
There's No Fool Like A Young Fool,Tab Hunter,5.0,68.0,1959-04-22
There's Something On Your Mind (Part 2),Bobby Marchan,11.0,31.0,1960-06-08
"There, I've Said It Again",Sam Cooke,5.0,81.0,1959-11-04
Think,James Brown And The Famous Flames,8.0,33.0,1960-04-27
Think It Over,The Crickets,7.0,27.0,1958-01-01
Think Me A Kiss,Clyde McPhatter,6.0,66.0,1960-03-30
Think Twice,Brook Benton,12.0,11.0,1961-02-08
This Bitter Earth,Dinah Washington,14.0,24.0,1960-06-15
This Friendly World,Fabian,13.0,12.0,1959-11-18
This I Swear,The Skyliners,12.0,26.0,1959-05-27
This Is My Story,Mickey & Sylvia,1.0,100.0,1960-12-28
This Little Girl's Gone Rockin',Ruth Brown,10.0,24.0,1958-09-17
This Magic Moment,The Drifters,11.0,16.0,1960-02-17
This Old Heart,James Brown And The Famous Flames,5.0,79.0,1960-08-24
This Should Go On Forever,Rod Bernard,12.0,20.0,1959-03-04
This Time Of The Year,Brook Benton,5.0,66.0,1959-12-16
This World We Love In (Il Cielo In Una Stanza),Mina,1.0,90.0,1961-05-03
Those Oldies But Goodies (Remind Me Of You),Little Caesar and The Romans,12.0,9.0,1961-04-26
Three Hearts In A Tangle,Roy Drusky,15.0,35.0,1961-04-05
Three Nights A Week,Fats Domino,11.0,15.0,1960-08-31
Three Stars,Tommy Dee with Carol Kay and the Teen-Aires,12.0,11.0,1959-04-29
Tic Toc,Lee Allen And His Band,1.0,92.0,1958-09-24
Tiger,Fabian,13.0,3.0,1959-06-10
Till There Was You,Anita Bryant,13.0,30.0,1959-06-24
Time After Time,Frankie Ford,6.0,75.0,1960-01-13
Time And The River,Nat King Cole,8.0,30.0,1960-01-27
Time Machine,Dante and the Evergreens,6.0,73.0,1960-09-07
Time Marches On,Roy Hamilton,3.0,84.0,1959-07-29
Time Was,The Flamingos,8.0,61.0,1961-06-28
Tiny Tim,LaVern Baker,9.0,63.0,1959-10-28
To A Soldier Boy,The Tassels,7.0,55.0,1959-07-08
To Be Loved,Jackie Wilson,1.0,86.0,1958-01-01
To Be Loved (Forever),The Pentagons,10.0,48.0,1961-02-15
To Each His Own,The Platters,11.0,21.0,1960-10-05
"To Know Him, Is To Love Him",The Teddy Bears,23.0,1.0,1958-09-17
Together,Connie Francis,9.0,13.0,1961-06-21
Togetherness,Frankie Avalon,13.0,26.0,1960-09-14
Tom Dooley,The Kingston Trio,21.0,1.0,1958-09-24
Tomboy,Perry Como,9.0,29.0,1959-02-18
Tonight (Could Be The Night),The Velvets featuring Virgil Johnson,8.0,26.0,1961-05-24
Tonight I Fell In Love,The Tokens,14.0,15.0,1961-03-01
"Tonight My Love, Tonight",Paul Anka,11.0,13.0,1961-03-08
Tonight's The Night,The Chiffons,4.0,76.0,1960-09-07
Tonights The Night,The Shirelles,12.0,39.0,1960-09-07
"Tonite, Tonite",Mello-Kings,1.0,95.0,1961-01-18
Too Many Rules,Connie Francis,1.0,84.0,1961-07-12
Too Much Tequila,The Champs,11.0,30.0,1960-01-13
"Too Pooped To Pop (""Casey"")",Chuck Berry,6.0,42.0,1960-02-10
Too Young To Go Steady,Connie Stevens,5.0,71.0,1960-06-29
"Top Forty, News, Weather And Sports",Mark Dinning,6.0,81.0,1961-02-15
Topsy I,Cozy Cole,13.0,27.0,1958-09-10
Topsy II,Cozy Cole,21.0,3.0,1958-08-20
Torquay,Fireballs,13.0,39.0,1959-09-23
Tossin' And Turnin',Bobby Lewis,18.0,1.0,1961-04-19
Tracy's Theme,Spencer Ross,14.0,13.0,1959-12-30
Tragedy,Thomas Wayne With the Delons,19.0,5.0,1959-01-21
Train Of Love,Annette With The Afterbeats,8.0,36.0,1960-06-01
Transistor Sister,Freddy Cannon,4.0,53.0,1961-07-19
Travelin' Man,Ricky Nelson,13.0,1.0,1961-04-19
Treasure Of Your Love,Eileen Rodgers,15.0,26.0,1958-08-20
Trees,The Platters,4.0,62.0,1961-03-29
Triangle,Janie Grant,13.0,29.0,1961-03-22
Trouble In Mind,Nina Simone,2.0,92.0,1961-01-18
Trouble In Paradise,The Crests,13.0,20.0,1960-06-08
True True Happiness,Johnny Tillotson,9.0,54.0,1959-08-19
Trust In Me,Patti Page,9.0,30.0,1959-01-07
Try Me,James Brown And The Famous Flames,13.0,48.0,1958-12-10
Try The Impossible,Lee Andrews And The Hearts,2.0,70.0,1958-01-01
Tucumcari,Jimmie Rodgers,9.0,32.0,1959-09-16
Tunes Of Glory,Mitch Miller With Orchestra And Chorus,2.0,88.0,1961-02-22
Tunnel Of Love,Doris Day,8.0,43.0,1958-10-22
